AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
NotaSaida_CodCondicao;CondicaoPagamento;CodCondicao;NotaSaida;CodCondicao
FK_ProdutosComissaoCondicao_CondicaoPagamento;CondicaoPagamento;CodCondicao;ProdutosComissaoCondicao;CodCondicao
FK_ConferenciaPedidoCompraProdutos_ConferenciaPedidoCompra;ConferenciaPedidoCompra;CodConferencia;ConferenciaPedidoCompraProdutos;CodConferencia
FK_ConferenciaPedidoCompraProdutos_ConferenciaPedidoCompra;ConferenciaPedidoCompra;CodEmpresa;ConferenciaPedidoCompraProdutos;CodEmpresa
FK_ContagemFisicaChassi_ContagemFisica;ContagemFisica;Controle;ContagemFisicaChassi;Controle
FK_ContagemFisicaChassi_ContagemFisica;ContagemFisica;CodEmpresa;ContagemFisicaChassi;CodEmpresa
FK_ContagemFisicaGrade_ContagemFisica;ContagemFisica;CodEmpresa;ContagemFisicaGrade;CodEmpresa
FK_ContagemFisicaGrade_ContagemFisica;ContagemFisica;Controle;ContagemFisicaGrade;Controle
ContagemFisicaLote_Controle;ContagemFisica;Controle;ContagemFisicaLote;Controle
ContagemFisicaLote_Controle;ContagemFisica;CodEmpresa;ContagemFisicaLote;CodEmpresa
ContratosAnexos_CodContrato;Contratos;CodEmpresa;ContratosAnexos;CodEmpresa
ContratosAnexos_CodContrato;Contratos;CodContrato;ContratosAnexos;CodContrato
ContratosANS_CodContrato;Contratos;CodEmpresa;ContratosANS;CodEmpresa
ContratosANS_CodContrato;Contratos;CodContrato;ContratosANS;CodContrato
ContratosClientes_CodContrato;Contratos;CodEmpresa;ContratosClientes;CodEmpresa
ContratosClientes_CodContrato;Contratos;CodContrato;ContratosClientes;CodContrato
ContratosImoveis_CodContrato;Contratos;CodContrato;ContratosImoveis;CodContrato
ContratosImoveis_CodContrato;Contratos;CodEmpresa;ContratosImoveis;CodEmpresa
ContratosPagamentos_CodContrato;Contratos;CodEmpresa;ContratosPagamentos;CodEmpresa
ContratosPagamentos_CodContrato;Contratos;CodContrato;ContratosPagamentos;CodContrato
ContratosProdutos_CodContrato;Contratos;CodContrato;ContratosProdutos;CodContrato
